TreeDepth,PID,Process,SID,Name
0,5576,svchost.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5576,svchost.exe,S-1-5-32-545,Users
0,5576,svchost.exe,S-1-5-4,Interactive
0,5576,svchost.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5576,svchost.exe,S-1-5-11,Authenticated Users
0,5576,svchost.exe,S-1-5-15,This Organization
0,5576,svchost.exe,S-1-5-5-0-827224,Logon Session
0,5576,svchost.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5576,svchost.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5576,svchost.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5576,svchost.exe,S-1-16-8192,Medium Mandatory Level
0,5644,taskhostw.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5644,taskhostw.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5644,taskhostw.exe,S-1-1-0,Everyone
0,5644,taskhostw.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5644,taskhostw.exe,S-1-5-32-545,Users
0,5644,taskhostw.exe,S-1-5-4,Interactive
0,5644,taskhostw.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5644,taskhostw.exe,S-1-5-11,Authenticated Users
0,5644,taskhostw.exe,S-1-5-15,This Organization
0,5644,taskhostw.exe,S-1-5-5-0-827224,Logon Session
0,5644,taskhostw.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5644,taskhostw.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5644,taskhostw.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5644,taskhostw.exe,S-1-16-8192,Medium Mandatory Level
0,5832,ctfmon.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5832,ctfmon.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5832,ctfmon.exe,S-1-1-0,Everyone
0,5832,ctfmon.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5832,ctfmon.exe,S-1-5-32-545,Users
0,5832,ctfmon.exe,S-1-5-4,Interactive
0,5832,ctfmon.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5832,ctfmon.exe,S-1-5-11,Authenticated Users
0,5832,ctfmon.exe,S-1-5-15,This Organization
0,5832,ctfmon.exe,S-1-5-5-0-827224,Logon Session
0,5832,ctfmon.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5832,ctfmon.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5832,ctfmon.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5832,ctfmon.exe,S-1-16-8208,-
0,5952,userinit.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5952,userinit.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5952,userinit.exe,S-1-1-0,Everyone
0,5952,userinit.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5952,userinit.exe,S-1-5-32-545,Users
0,5952,userinit.exe,S-1-5-4,Interactive
0,5952,userinit.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5952,userinit.exe,S-1-5-11,Authenticated Users
0,5952,userinit.exe,S-1-5-15,This Organization
0,5952,userinit.exe,S-1-5-5-0-827224,Logon Session
0,5952,userinit.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5952,userinit.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5952,userinit.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5952,userinit.exe,S-1-16-8192,Medium Mandatory Level
0,5988,explorer.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5988,explorer.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5988,explorer.exe,S-1-1-0,Everyone
0,5988,explorer.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5988,explorer.exe,S-1-5-32-545,Users
0,5988,explorer.exe,S-1-5-4,Interactive
0,5988,explorer.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5988,explorer.exe,S-1-5-11,Authenticated Users
0,5988,explorer.exe,S-1-5-15,This Organization
0,5988,explorer.exe,S-1-5-5-0-827224,Logon Session
0,5988,explorer.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5988,explorer.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5988,explorer.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5988,explorer.exe,S-1-16-8192,Medium Mandatory Level
0,660,ShellExperienc,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,660,ShellExperienc,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,660,ShellExperienc,S-1-1-0,Everyone
0,660,ShellExperienc,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,660,ShellExperienc,S-1-5-32-545,Users
0,660,ShellExperienc,S-1-5-4,Interactive
0,660,ShellExperienc,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,660,ShellExperienc,S-1-5-11,Authenticated Users
0,660,ShellExperienc,S-1-5-15,This Organization
0,660,ShellExperienc,S-1-5-5-0-827224,Logon Session
0,660,ShellExperienc,S-1-2-0,Local (Users with the ability to log in locally)
0,660,ShellExperienc,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,660,ShellExperienc,S-1-18-1,Authentication Authority Asserted Identity
0,660,ShellExperienc,S-1-16-4096,Low Mandatory Level
0,5808,SearchUI.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5808,SearchUI.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5808,SearchUI.exe,S-1-1-0,Everyone
0,5808,SearchUI.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5808,SearchUI.exe,S-1-5-32-545,Users
0,5808,SearchUI.exe,S-1-5-4,Interactive
0,5808,SearchUI.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5808,SearchUI.exe,S-1-5-11,Authenticated Users
0,5808,SearchUI.exe,S-1-5-15,This Organization
0,5808,SearchUI.exe,S-1-5-5-0-827224,Logon Session
0,5808,SearchUI.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5808,SearchUI.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5808,SearchUI.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5808,SearchUI.exe,S-1-16-4096,Low Mandatory Level
0,5132,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5132,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5132,RuntimeBroker.,S-1-1-0,Everyone
0,5132,RuntimeBroker.,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5132,RuntimeBroker.,S-1-5-32-545,Users
0,5132,RuntimeBroker.,S-1-5-4,Interactive
0,5132,RuntimeBroker.,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5132,RuntimeBroker.,S-1-5-11,Authenticated Users
0,5132,RuntimeBroker.,S-1-5-15,This Organization
0,5132,RuntimeBroker.,S-1-5-5-0-827224,Logon Session
0,5132,RuntimeBroker.,S-1-2-0,Local (Users with the ability to log in locally)
0,5132,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5132,RuntimeBroker.,S-1-18-1,Authentication Authority Asserted Identity
0,5132,RuntimeBroker.,S-1-16-8192,Medium Mandatory Level
0,6664,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,6664,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,6664,backgroundTask,S-1-1-0,Everyone
0,6664,backgroundTask,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,6664,backgroundTask,S-1-5-32-545,Users
0,6664,backgroundTask,S-1-5-4,Interactive
0,6664,backgroundTask,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,6664,backgroundTask,S-1-5-11,Authenticated Users
0,6664,backgroundTask,S-1-5-15,This Organization
0,6664,backgroundTask,S-1-5-5-0-827224,Logon Session
0,6664,backgroundTask,S-1-2-0,Local (Users with the ability to log in locally)
0,6664,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,6664,backgroundTask,S-1-18-1,Authentication Authority Asserted Identity
0,6664,backgroundTask,S-1-16-4096,Low Mandatory Level
0,7136,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7136,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7136,RuntimeBroker.,S-1-1-0,Everyone
0,7136,RuntimeBroker.,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7136,RuntimeBroker.,S-1-5-32-545,Users
0,7136,RuntimeBroker.,S-1-5-4,Interactive
0,7136,RuntimeBroker.,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7136,RuntimeBroker.,S-1-5-11,Authenticated Users
0,7136,RuntimeBroker.,S-1-5-15,This Organization
0,7136,RuntimeBroker.,S-1-5-5-0-827224,Logon Session
0,7136,RuntimeBroker.,S-1-2-0,Local (Users with the ability to log in locally)
0,7136,RuntimeBroker.,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7136,RuntimeBroker.,S-1-18-1,Authentication Authority Asserted Identity
0,7136,RuntimeBroker.,S-1-16-8192,Medium Mandatory Level
0,6800,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,6800,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,6800,backgroundTask,S-1-1-0,Everyone
0,6800,backgroundTask,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,6800,backgroundTask,S-1-5-32-545,Users
0,6800,backgroundTask,S-1-5-4,Interactive
0,6800,backgroundTask,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,6800,backgroundTask,S-1-5-11,Authenticated Users
0,6800,backgroundTask,S-1-5-15,This Organization
0,6800,backgroundTask,S-1-5-5-0-827224,Logon Session
0,6800,backgroundTask,S-1-2-0,Local (Users with the ability to log in locally)
0,6800,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,6800,backgroundTask,S-1-18-1,Authentication Authority Asserted Identity
0,6800,backgroundTask,S-1-16-4096,Low Mandatory Level
0,7096,officebackgrou,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7096,officebackgrou,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7096,officebackgrou,S-1-1-0,Everyone
0,7096,officebackgrou,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7096,officebackgrou,S-1-5-32-545,Users
0,7096,officebackgrou,S-1-5-4,Interactive
0,7096,officebackgrou,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7096,officebackgrou,S-1-5-11,Authenticated Users
0,7096,officebackgrou,S-1-5-15,This Organization
0,7096,officebackgrou,S-1-5-5-0-827224,Logon Session
0,7096,officebackgrou,S-1-2-0,Local (Users with the ability to log in locally)
0,7096,officebackgrou,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7096,officebackgrou,S-1-18-1,Authentication Authority Asserted Identity
0,7096,officebackgrou,S-1-16-8192,Medium Mandatory Level
0,3964,SkypeHost.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,3964,SkypeHost.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,3964,SkypeHost.exe,S-1-1-0,Everyone
0,3964,SkypeHost.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,3964,SkypeHost.exe,S-1-5-32-545,Users
0,3964,SkypeHost.exe,S-1-5-4,Interactive
0,3964,SkypeHost.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,3964,SkypeHost.exe,S-1-5-11,Authenticated Users
0,3964,SkypeHost.exe,S-1-5-15,This Organization
0,3964,SkypeHost.exe,S-1-5-5-0-827224,Logon Session
0,3964,SkypeHost.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,3964,SkypeHost.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,3964,SkypeHost.exe,S-1-18-1,Authentication Authority Asserted Identity
0,3964,SkypeHost.exe,S-1-16-4096,Low Mandatory Level
0,8,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,8,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,8,backgroundTask,S-1-1-0,Everyone
0,8,backgroundTask,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,8,backgroundTask,S-1-5-32-545,Users
0,8,backgroundTask,S-1-5-4,Interactive
0,8,backgroundTask,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,8,backgroundTask,S-1-5-11,Authenticated Users
0,8,backgroundTask,S-1-5-15,This Organization
0,8,backgroundTask,S-1-5-5-0-827224,Logon Session
0,8,backgroundTask,S-1-2-0,Local (Users with the ability to log in locally)
0,8,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,8,backgroundTask,S-1-18-1,Authentication Authority Asserted Identity
0,8,backgroundTask,S-1-16-4096,Low Mandatory Level
0,7080,HxTsr.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7080,HxTsr.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7080,HxTsr.exe,S-1-1-0,Everyone
0,7080,HxTsr.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7080,HxTsr.exe,S-1-5-32-545,Users
0,7080,HxTsr.exe,S-1-5-4,Interactive
0,7080,HxTsr.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7080,HxTsr.exe,S-1-5-11,Authenticated Users
0,7080,HxTsr.exe,S-1-5-15,This Organization
0,7080,HxTsr.exe,S-1-5-5-0-827224,Logon Session
0,7080,HxTsr.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,7080,HxTsr.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7080,HxTsr.exe,S-1-18-1,Authentication Authority Asserted Identity
0,7080,HxTsr.exe,S-1-16-4096,Low Mandatory Level
0,7444,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7444,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7444,backgroundTask,S-1-1-0,Everyone
0,7444,backgroundTask,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7444,backgroundTask,S-1-5-32-545,Users
0,7444,backgroundTask,S-1-5-4,Interactive
0,7444,backgroundTask,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7444,backgroundTask,S-1-5-11,Authenticated Users
0,7444,backgroundTask,S-1-5-15,This Organization
0,7444,backgroundTask,S-1-5-5-0-827224,Logon Session
0,7444,backgroundTask,S-1-2-0,Local (Users with the ability to log in locally)
0,7444,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7444,backgroundTask,S-1-18-1,Authentication Authority Asserted Identity
0,7444,backgroundTask,S-1-16-4096,Low Mandatory Level
0,7656,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7656,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7656,backgroundTask,S-1-1-0,Everyone
0,7656,backgroundTask,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7656,backgroundTask,S-1-5-32-545,Users
0,7656,backgroundTask,S-1-5-4,Interactive
0,7656,backgroundTask,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7656,backgroundTask,S-1-5-11,Authenticated Users
0,7656,backgroundTask,S-1-5-15,This Organization
0,7656,backgroundTask,S-1-5-5-0-827224,Logon Session
0,7656,backgroundTask,S-1-2-0,Local (Users with the ability to log in locally)
0,7656,backgroundTask,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7656,backgroundTask,S-1-18-1,Authentication Authority Asserted Identity
0,7656,backgroundTask,S-1-16-4096,Low Mandatory Level
0,7676,MSASCuiL.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7676,MSASCuiL.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7676,MSASCuiL.exe,S-1-1-0,Everyone
0,7676,MSASCuiL.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7676,MSASCuiL.exe,S-1-5-32-545,Users
0,7676,MSASCuiL.exe,S-1-5-4,Interactive
0,7676,MSASCuiL.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7676,MSASCuiL.exe,S-1-5-11,Authenticated Users
0,7676,MSASCuiL.exe,S-1-5-15,This Organization
0,7676,MSASCuiL.exe,S-1-5-5-0-827224,Logon Session
0,7676,MSASCuiL.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,7676,MSASCuiL.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7676,MSASCuiL.exe,S-1-18-1,Authentication Authority Asserted Identity
0,7676,MSASCuiL.exe,S-1-16-8192,Medium Mandatory Level
0,7752,vmtoolsd.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7752,vmtoolsd.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7752,vmtoolsd.exe,S-1-1-0,Everyone
0,7752,vmtoolsd.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7752,vmtoolsd.exe,S-1-5-32-545,Users
0,7752,vmtoolsd.exe,S-1-5-4,Interactive
0,7752,vmtoolsd.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7752,vmtoolsd.exe,S-1-5-11,Authenticated Users
0,7752,vmtoolsd.exe,S-1-5-15,This Organization
